Team_ID,Team_Code,Team,URL_Tried,Final_URL,Raw_Card_Containers,Raw_Valid_Rows,Deduped_Players,Status,Error
CAN,BOS,Boston Cannons,https://premierlacrosseleague.com/teams/boston-cannons/roster,https://premierlacrosseleague.com/teams/boston-cannons/roster,26,0,0,NO_PLAYERS,
CAN,BOS,Boston Cannons,https://premierlacrosseleague.com/teams/Cannons/roster,https://premierlacrosseleague.com/teams/Cannons/roster,26,0,0,NO_PLAYERS,
RED,CAL,California Redwoods,https://premierlacrosseleague.com/teams/california-redwoods/roster,https://premierlacrosseleague.com/teams/california-redwoods/roster,25,0,0,NO_PLAYERS,
RED,CAL,California Redwoods,https://premierlacrosseleague.com/teams/Redwoods/roster,https://premierlacrosseleague.com/teams/Redwoods/roster,25,0,0,NO_PLAYERS,
RED,CAL,California Redwoods,https://premierlacrosseleague.com/teams/redwoods/roster,https://premierlacrosseleague.com/teams/redwoods/roster,25,0,0,NO_PLAYERS,
CHA,CAR,Carolina Chaos,https://premierlacrosseleague.com/teams/carolina-chaos/roster,https://premierlacrosseleague.com/teams/carolina-chaos/roster,29,0,0,NO_PLAYERS,
CHA,CAR,Carolina Chaos,https://premierlacrosseleague.com/teams/Chaos/roster,https://premierlacrosseleague.com/teams/Chaos/roster,29,0,0,NO_PLAYERS,
OUT,DEN,Denver Outlaws,https://premierlacrosseleague.com/teams/denver-outlaws/roster,https://premierlacrosseleague.com/teams/denver-outlaws/roster,25,0,0,NO_PLAYERS,
OUT,DEN,Denver Outlaws,https://premierlacrosseleague.com/teams/Outlaws/roster,https://premierlacrosseleague.com/teams/Outlaws/roster,25,0,0,NO_PLAYERS,
WHP,MD,Maryland Whipsnakes,https://premierlacrosseleague.com/teams/maryland-whipsnakes/roster,https://premierlacrosseleague.com/teams/maryland-whipsnakes/roster,30,0,0,NO_PLAYERS,
WHP,MD,Maryland Whipsnakes,https://premierlacrosseleague.com/teams/Whipsnakes/roster,https://premierlacrosseleague.com/teams/Whipsnakes/roster,30,0,0,NO_PLAYERS,
ATL,NY,New York Atlas,https://premierlacrosseleague.com/teams/new-york-atlas/roster,https://premierlacrosseleague.com/teams/new-york-atlas/roster,28,0,0,NO_PLAYERS,
ATL,NY,New York Atlas,https://premierlacrosseleague.com/teams/Atlas/roster,https://premierlacrosseleague.com/teams/Atlas/roster,28,0,0,NO_PLAYERS,
WAT,PHI,Philadelphia Waterdogs,https://premierlacrosseleague.com/teams/philadelphia-waterdogs/roster,https://premierlacrosseleague.com/teams/philadelphia-waterdogs/roster,27,0,0,NO_PLAYERS,
WAT,PHI,Philadelphia Waterdogs,https://premierlacrosseleague.com/teams/Waterdogs/roster,https://premierlacrosseleague.com/teams/Waterdogs/roster,27,0,0,NO_PLAYERS,
ARC,UTA,Utah Archers,https://premierlacrosseleague.com/teams/utah-archers/roster,https://premierlacrosseleague.com/teams/utah-archers/roster,29,0,0,NO_PLAYERS,
ARC,UTA,Utah Archers,https://premierlacrosseleague.com/teams/Archers/roster,https://premierlacrosseleague.com/teams/Archers/roster,29,0,0,NO_PLAYERS,
